case_id,system,root_service,fault,repetition,n_pre,n_post,mechanism,rate,replicate,realized_rate,method,rank,reciprocal_rank,avg_at_5,normalized_rank,hit_at_1,hit_at_3,hit_at_5,candidate_count,elapsed_ms,top_5,top_evidence_metric,root_observed_fraction,root_streams_available,root_streams_total,root_pre_observed_fraction,root_post_observed_fraction,root_streams_pre_available,root_streams_post_available,root_streams_scorable,observed_fraction,runner_version,code_hash,config_fingerprint,source_fingerprint,source_size,source_mtime_ns,window
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,0,0.09999477882523568,baro,2,0.5,0.8,0.014084507042253521,0,1,1,72,751.2757999938913,ts-consign-price-service|ts-train-service|ts-contacts-service|ts-inside-payment-service|ts-order-other-service,ts-consign-price-service_container-memory-usage-bytes,0.8999382716049382,27,27,0.8845679012345679,0.9153086419753086,27,27,27,0.8946851211072664,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,0,0.09999477882523568,median_shift,7,0.14285714285714285,0.0,0.08450704225352113,0,0,0,72,176.91479995846748,ts-consign-price-mongo|ts-consign-price-service|ts-order-other-mongo|ts-preserve-service|ts-price-mongo,ts-consign-price-mongo_container-memory-failures-total,0.8999382716049382,27,27,0.8845679012345679,0.9153086419753086,27,27,27,0.8946851211072664,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,0,0.09999477882523568,nsigma,1,1.0,1.0,0.0,1,1,1,72,573.6542000086047,ts-train-service|10-192-15-225-9100|ts-auth-service|ts-route-plan-service|ts-preserve-other-service,ts-train-service_container-fs-reads-total,0.8999382716049382,27,27,0.8845679012345679,0.9153086419753086,27,27,27,0.8946851211072664,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,1,0.10002610587382162,baro,3,0.3333333333333333,0.6,0.028169014084507043,0,1,1,72,732.8337999642827,ts-consign-price-service|ts-contacts-service|ts-train-service|ts-inside-payment-service|ts-assurance-service,ts-consign-price-service_container-memory-working-set-bytes,0.8998765432098765,27,27,0.8817283950617284,0.9180246913580247,27,27,27,0.8946539792387543,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,1,0.10002610587382162,median_shift,6,0.16666666666666666,0.0,0.07042253521126761,0,0,0,72,182.88560002110898,ts-consign-price-mongo|ts-consign-price-service|ts-inside-payment-mongo|ts-price-mongo|ts-route-mongo,ts-consign-price-mongo_container-memory-failures-total,0.8998765432098765,27,27,0.8817283950617284,0.9180246913580247,27,27,27,0.8946539792387543,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,1,0.10002610587382162,nsigma,1,1.0,1.0,0.0,1,1,1,72,570.6430999562144,ts-train-service|10-192-15-225-9100|ts-auth-service|ts-preserve-other-service|ts-route-plan-service,ts-train-service_container-fs-writes-total,0.8998765432098765,27,27,0.8817283950617284,0.9180246913580247,27,27,27,0.8946539792387543,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,2,0.0999982596084119,baro,3,0.3333333333333333,0.6,0.028169014084507043,0,1,1,72,750.2571000368334,ts-consign-price-service|ts-contacts-service|ts-train-service|ts-preserve-service|ts-assurance-service,ts-consign-price-service_container-memory-working-set-bytes,0.8998765432098765,27,27,0.8797530864197531,0.92,27,27,27,0.894681660899654,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,2,0.0999982596084119,median_shift,7,0.14285714285714285,0.0,0.08450704225352113,0,0,0,72,181.3117999699898,ts-consign-price-mongo|ts-consign-price-service|ts-inside-payment-mongo|ts-news-service|ts-price-mongo,ts-consign-price-mongo_container-memory-failures-total,0.8998765432098765,27,27,0.8797530864197531,0.92,27,27,27,0.894681660899654,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,2,0.0999982596084119,nsigma,1,1.0,1.0,0.0,1,1,1,72,582.8835000284016,ts-train-service|10-192-15-225-9100|ts-auth-service|ts-route-plan-service|ts-preserve-other-service,ts-train-service_container-fs-reads-total,0.8998765432098765,27,27,0.8797530864197531,0.92,27,27,27,0.894681660899654,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
TT/ts-train-service_disk/5,TT,ts-train-service,disk,5,300,300,burst,0.1,3,0.1000075416968818,baro,2,0.5,0.8,0.014084507042253521,0,1,1,72,741.8141000089236,ts-consign-price-service|ts-train-service|ts-contacts-service|ts-assurance-service|ts-station-service,ts-consign-price-service_container-memory-usage-bytes,0.8998765432098765,27,27,0.8954320987654321,0.904320987654321,27,27,27,0.8946724336793541,baseline-v2-20260723,cd270e7871bd358937d83d9a49829637fa80007d2964084ef229f578e3733bd3,ba75425861a059dafcc477474fc3e4ed1eafdc2b47d6fdd0557337035d29a960,43f6355a7c0bcad509dd041c0be1c5bbb6b832b734cb55654bf5792342e503ee,12833269,1702416914000000000,300
